datetime,popularity
2026-07-02T01:00:11.190439, 3
2026-07-03T01:00:48.597239, 3.37
2026-07-04T01:00:40.577243, 3.37
2026-07-05T01:00:04.995971, 6.48
2026-07-06T01:00:04.487543, 6.48
2026-07-07T01:00:05.100501, 6.48
2026-07-08T01:00:05.706426, 6.48
2026-07-09T01:00:05.158327, 6.48
2026-07-10T01:00:05.095090, 6.48
2026-07-11T01:00:04.444737, 6.48
2026-07-12T01:00:05.570019, 6.48
2026-07-13T01:00:05.019743, 3.24
2026-07-14T01:00:04.949741, 3.24
2026-07-15T01:00:04.530230, 3.24
2026-07-16T01:00:03.995855, 3.24
2026-07-17T01:00:04.189246, 3.24
2026-07-18T01:00:04.814498, 3.24
